period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1.0,JPN,22.0,UKR,30.0,0.5343123272972649,0.1781085150854524,https://www.iihf.com//pdf/691/ihm691901_77a_1_0,UKR,JPN,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
1.0,JPN,12.0,UKR,30.0,1.2428270205245278,1.63671408863874,https://www.iihf.com//pdf/691/ihm691901_77a_1_0,UKR,JPN,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
1.0,UKR,18.0,JPN,1.0,0.8326332512643067,3.862833203300167,https://www.iihf.com//pdf/691/ihm691901_77a_1_0,UKR,JPN,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
2.0,UKR,28.0,JPN,1.0,4.598948594932309,2.6345334912995506,https://www.iihf.com//pdf/691/ihm691901_77a_2_0,UKR,JPN,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
2.0,JPN,16.0,UKR,30.0,0.1986999268033005,2.44261095895982,https://www.iihf.com//pdf/691/ihm691901_77a_2_0,UKR,JPN,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6208/1-ukr-vs-jpn
1.0,ROU,18.0,EST,1.0,5.4939146600253626,3.2102989478550947,https://www.iihf.com//pdf/691/ihm691902_77a_1_0,ROU,EST,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6209/2-rou-vs-est
1.0,ROU,3.0,EST,1.0,3.592112226582523,3.862745444290688,https://www.iihf.com//pdf/691/ihm691902_77a_1_0,ROU,EST,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6209/2-rou-vs-est
1.0,EST,22.0,ROU,1.0,5.605785483144837,2.020558083086377,https://www.iihf.com//pdf/691/ihm691902_77a_2_0,ROU,EST,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6209/2-rou-vs-est
1.0,EST,8.0,ROU,1.0,3.629402500955681,0.2547023310719334,https://www.iihf.com//pdf/691/ihm691902_77a_2_0,ROU,EST,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6209/2-rou-vs-est
3.0,ROU,9.0,EST,1.0,2.883598053218002,3.824448268739492,https://www.iihf.com//pdf/691/ihm691902_77a_3_0,ROU,EST,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6209/2-rou-vs-est
3.0,EST,6.0,ROU,1.0,0.4970222251796646,1.2143112469592037,https://www.iihf.com//pdf/691/ihm691902_77a_3_0,ROU,EST,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6209/2-rou-vs-est
1.0,POL,9.0,NED,30.0,1.8021806162591576,3.325451611073474,https://www.iihf.com//pdf/691/ihm691903_77a_1_0,NED,POL,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6210/3-ned-vs-pol
1.0,NED,6.0,POL,30.0,4.188755988820867,3.4406048094077657,https://www.iihf.com//pdf/691/ihm691903_77a_1_0,NED,POL,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6210/3-ned-vs-pol
2.0,POL,5.0,NED,30.0,1.0190852076124568,0.3280603011418304,https://www.iihf.com//pdf/691/ihm691903_77a_2_0,NED,POL,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6210/3-ned-vs-pol
2.0,POL,11.0,NED,30.0,4.934563814213468,0.8690271699752885,https://www.iihf.com//pdf/691/ihm691903_77a_2_0,NED,POL,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6210/3-ned-vs-pol
3.0,POL,5.0,NED,29.0,5.158302190666939,0.7502881599183198,https://www.iihf.com//pdf/691/ihm691903_77a_3_0,NED,POL,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6210/3-ned-vs-pol
3.0,POL,15.0,NED,29.0,0.3478609554314739,2.596148556738875,https://www.iihf.com//pdf/691/ihm691903_77a_3_0,NED,POL,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6210/3-ned-vs-pol
3.0,POL,19.0,NED,29.0,3.778563598448314,1.9819992358544785,https://www.iihf.com//pdf/691/ihm691903_77a_3_0,NED,POL,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6210/3-ned-vs-pol
3.0,POL,25.0,NED,29.0,1.5038584212738924,1.2910800458487317,https://www.iihf.com//pdf/691/ihm691903_77a_3_0,NED,POL,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6210/3-ned-vs-pol
3.0,POL,9.0,NED,29.0,5.232882739413255,0.1779340672983176,https://www.iihf.com//pdf/691/ihm691903_77a_3_0,NED,POL,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6210/3-ned-vs-pol
1.0,JPN,23.0,ROU,1.0,4.673529143678625,1.4445304197342188,https://www.iihf.com//pdf/691/ihm691904_77a_1_0,JPN,ROU,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6211/4-jpn-vs-rou
1.0,JPN,28.0,ROU,1.0,4.897270789917574,3.17191401329442,https://www.iihf.com//pdf/691/ihm691904_77a_1_0,JPN,ROU,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6211/4-jpn-vs-rou
2.0,ROU,3.0,JPN,1.0,5.232882739413255,0.1778463082888386,https://www.iihf.com//pdf/691/ihm691904_77a_2_0,JPN,ROU,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6211/4-jpn-vs-rou
2.0,ROU,15.0,JPN,1.0,0.4970220529241066,1.5213864425173136,https://www.iihf.com//pdf/691/ihm691904_77a_2_0,JPN,ROU,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6211/4-jpn-vs-rou
3.0,ROU,5.0,JPN,1.0,2.734437383550705,0.251291502252303,https://www.iihf.com//pdf/691/ihm691904_77a_3_0,JPN,ROU,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6211/4-jpn-vs-rou
1.0,UKR,4.0,POL,29.0,0.2732806666165288,0.5223683802148384,https://www.iihf.com//pdf/691/ihm691905_77a_1_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
1.0,POL,21.0,UKR,29.0,4.226048875432526,2.5579396753130696,https://www.iihf.com//pdf/691/ihm691905_77a_1_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
1.0,POL,21.0,UKR,29.0,1.130955549640671,3.479164191755576,https://www.iihf.com//pdf/691/ihm691905_77a_1_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
1.0,POL,25.0,UKR,29.0,1.317407569270844,1.6365391057356935,https://www.iihf.com//pdf/691/ihm691905_77a_2_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
1.0,POL,21.0,UKR,29.0,2.2496636488056847,1.0993335666438706,https://www.iihf.com//pdf/691/ihm691905_77a_2_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
1.0,POL,21.0,UKR,29.0,5.680366031891154,1.1761018304174868,https://www.iihf.com//pdf/691/ihm691905_77a_2_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
1.0,POL,5.0,UKR,30.0,4.002305244687262,2.3240469318058983,https://www.iihf.com//pdf/691/ihm691905_77a_2_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
1.0,UKR,18.0,POL,29.0,4.934563814213468,3.4406048094077657,https://www.iihf.com//pdf/691/ihm691905_77a_2_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
3.0,UKR,15.0,POL,29.0,3.927724695940946,0.600161926074807,https://www.iihf.com//pdf/691/ihm691905_77a_3_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
3.0,POL,21.0,UKR,30.0,0.4970222251796646,0.1781085150854524,https://www.iihf.com//pdf/691/ihm691905_77a_3_0,POL,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6212/5-pol-vs-ukr
1.0,EST,10.0,NED,29.0,0.6834741815278147,3.517373073181382,https://www.iihf.com//pdf/691/ihm691906_77a_1_0,EST,NED,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6213/6-est-vs-ned
2.0,EST,3.0,NED,29.0,0.4970220529241066,1.4829148191789825,https://www.iihf.com//pdf/691/ihm691906_77a_2_0,EST,NED,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6213/6-est-vs-ned
2.0,EST,21.0,NED,29.0,0.4597317785509485,0.8306427705305248,https://www.iihf.com//pdf/691/ihm691906_77a_2_0,EST,NED,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6213/6-est-vs-ned
2.0,NED,3.0,EST,1.0,2.920889339898856,0.5233059032917122,https://www.iihf.com//pdf/691/ihm691906_77a_2_0,EST,NED,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6213/6-est-vs-ned
3.0,EST,8.0,NED,29.0,5.493915524354538,3.36383654563415,https://www.iihf.com//pdf/691/ihm691906_77a_3_0,EST,NED,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6213/6-est-vs-ned
1.0,UKR,8.0,NED,30.0,4.97185133866389,0.5617775266300433,https://www.iihf.com//pdf/691/ihm691907_77a_1_0,NED,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6214/7-ned-vs-ukr
2.0,NED,13.0,UKR,30.0,0.3851512298046321,1.4829148191789825,https://www.iihf.com//pdf/691/ihm691907_77a_2_0,NED,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6214/7-ned-vs-ukr
2.0,UKR,13.0,NED,30.0,2.809018997870641,0.2929989715072181,https://www.iihf.com//pdf/691/ihm691907_77a_2_0,NED,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6214/7-ned-vs-ukr
2.0,UKR,7.0,NED,30.0,5.344756454618047,0.4051785307215394,https://www.iihf.com//pdf/691/ihm691907_77a_2_0,NED,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6214/7-ned-vs-ukr
2.0,UKR,18.0,NED,30.0,2.697148655842428,1.8284616380754235,https://www.iihf.com//pdf/691/ihm691907_77a_2_0,NED,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6214/7-ned-vs-ukr
2.0,UKR,10.0,NED,30.0,5.27017484029811,2.365842160070293,https://www.iihf.com//pdf/691/ihm691907_77a_2_0,NED,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6214/7-ned-vs-ukr
3.0,UKR,8.0,NED,30.0,0.1987001178702124,1.060773649180149,https://www.iihf.com//pdf/691/ihm691907_77a_3_0,NED,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6214/7-ned-vs-ukr
3.0,UKR,18.0,NED,30.0,5.046431887410207,1.3294649804094063,https://www.iihf.com//pdf/691/ihm691907_77a_3_0,NED,UKR,https://www.iihf.com//en/events/2019/wmib/gamecenter/playbyplay/6214/7-ned-vs-ukr
