period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1.0,USA,12.0,JPN,30.0,5.344756454618047,3.63270125441872,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1.0,USA,36.0,JPN,30.0,0.3105702688315145,0.4465365692862733,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1.0,USA,4.0,JPN,30.0,5.046434156241682,2.710277008102725,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1.0,USA,16.0,JPN,30.0,0.1986999268033005,2.711302290189078,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
2.0,USA,25.0,JPN,29.0,5.382043836905888,0.44662432829575227,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
2.0,USA,28.0,JPN,29.0,5.456624385652204,0.3314711299614608,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
2.0,USA,6.0,JPN,30.0,5.009141613037048,3.2486828121839473,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
2.0,USA,23.0,JPN,30.0,5.568495208771679,3.6324390476221056,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
2.0,USA,11.0,JPN,30.0,4.1141755479439945,0.4467993111987987,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
3.0,USA,25.0,JPN,29.0,0.012247970455150387,1.1375429831855879,https://www.iihf.com//pdf/164/ihw164a01_77a_3_0,JPN,USA,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37185/1-jpn-vs-usa
1.0,GER,13.0,HUN,1.0,2.7344369557253696,0.6768429659548554,https://www.iihf.com//pdf/164/ihw164b02_77a_3_0,GER,HUN,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37186/2-ger-vs-hun
1.0,GER,25.0,HUN,1.0,5.382043836905888,0.8688521870722417,https://www.iihf.com//pdf/164/ihw164b02_77a_3_0,GER,HUN,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37186/2-ger-vs-hun
1.0,HUN,14.0,GER,95.0,1.056378094224115,2.749861137420977,https://www.iihf.com//pdf/164/ihw164b02_77a_3_0,GER,HUN,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37186/2-ger-vs-hun
2.0,HUN,14.0,GER,95.0,0.4970220529241066,3.5943168549739557,https://www.iihf.com//pdf/164/ihw164b02_77a_3_0,GER,HUN,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37186/2-ger-vs-hun
2.0,HUN,97.0,GER,95.0,5.605785483144837,1.3678488447382589,https://www.iihf.com//pdf/164/ihw164b02_77a_3_0,GER,HUN,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37186/2-ger-vs-hun
3.0,HUN,72.0,GER,-1.0,4.33791921746074,1.982174218757525,https://www.iihf.com//pdf/164/ihw164b02_77a_3_0,GER,HUN,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37186/2-ger-vs-hun
1.0,FIN,91.0,CAN,35.0,5.419334111279046,1.6749240402963688,https://www.iihf.com//pdf/164/ihw164a03_77a_3_0,FIN,CAN,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37187/3-fin-vs-can
1.0,CAN,20.0,FIN,36.0,5.643078752994411,3.8628332033001667,https://www.iihf.com//pdf/164/ihw164a03_77a_3_0,FIN,CAN,https://www.iihf.com//en/events/2022/ww/gamecenter/playbyplay/37187/3-fin-vs-can
