period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,UKR,22,POL,25,4.89727092760181,0.6003363738619423,POL,UKR,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32479/1-pol-vs-ukr,https://www.iihf.com//pdf/53/ihm053901_77a_3_0
2,UKR,14,POL,25,4.449788017302419,0.523568110088326,POL,UKR,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32479/1-pol-vs-ukr,https://www.iihf.com//pdf/53/ihm053901_77a_3_0
3,POL,18,UKR,1,2.063212276939894,0.3314711299614608,POL,UKR,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32479/1-pol-vs-ukr,https://www.iihf.com//pdf/53/ihm053901_77a_3_0
3,UKR,17,POL,25,5.643078752994411,3.863007651087302,POL,UKR,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32479/1-pol-vs-ukr,https://www.iihf.com//pdf/53/ihm053901_77a_3_0
3,UKR,12,POL,25,0.5343109528879425,0.408414911754035,POL,UKR,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32479/1-pol-vs-ukr,https://www.iihf.com//pdf/53/ihm053901_77a_3_0
3,UKR,8,POL,25,5.121015770561618,3.0183764155153647,POL,UKR,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32479/1-pol-vs-ukr,https://www.iihf.com//pdf/53/ihm053901_77a_3_0
3,UKR,5,POL,25,5.3820451823263245,3.7826530404750973,POL,UKR,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32479/1-pol-vs-ukr,https://www.iihf.com//pdf/53/ihm053901_77a_3_0
2,HUN,24,SLO,1,5.419333910034602,1.406408227086069,SLO,HUN,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32480/2-slo-vs-hun,https://www.iihf.com//pdf/53/ihm053902_77a_3_0
3,HUN,21,SLO,1,1.5784389700202088,0.1397241156406887,SLO,HUN,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32480/2-slo-vs-hun,https://www.iihf.com//pdf/53/ihm053902_77a_3_0
3,HUN,10,SLO,-1,4.97185133866389,0.1395496678535539,SLO,HUN,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32480/2-slo-vs-hun,https://www.iihf.com//pdf/53/ihm053902_77a_3_0
1,AUT,5,ITA,20,5.270173013786414,2.400816265811337,ITA,AUT,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32481/3-ita-vs-aut,https://www.iihf.com//pdf/53/ihm053903_77a_3_0
1,ITA,14,AUT,1,0.0495408570668086,1.3296394281965416,ITA,AUT,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32481/3-ita-vs-aut,https://www.iihf.com//pdf/53/ihm053903_77a_3_0
2,ITA,14,AUT,1,0.6088928760435811,0.5619525095330902,ITA,AUT,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32481/3-ita-vs-aut,https://www.iihf.com//pdf/53/ihm053903_77a_3_0
1,HUN,13,POL,25,1.615729804365185,0.4849209687310369,HUN,POL,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32482/4-hun-vs-pol,https://www.iihf.com//pdf/53/ihm053904_77a_3_0
1,HUN,23,POL,25,0.4224406108597285,1.905142677955472,HUN,POL,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32482/4-hun-vs-pol,https://www.iihf.com//pdf/53/ihm053904_77a_3_0
2,HUN,14,POL,25,0.3851512298046321,3.786238852197775,HUN,POL,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32482/4-hun-vs-pol,https://www.iihf.com//pdf/53/ihm053904_77a_3_0
2,POL,13,HUN,20,0.4224406108597285,0.4465365692862733,HUN,POL,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32482/4-hun-vs-pol,https://www.iihf.com//pdf/53/ihm053904_77a_3_0
3,POL,18,HUN,20,5.232882739413255,1.6749240402963688,HUN,POL,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32482/4-hun-vs-pol,https://www.iihf.com//pdf/53/ihm053904_77a_3_0
3,HUN,18,POL,25,0.2359886545115783,0.7536995238538622,HUN,POL,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32482/4-hun-vs-pol,https://www.iihf.com//pdf/53/ihm053904_77a_3_0
3,HUN,14,POL,-1,0.6088925672078787,0.331645577748596,HUN,POL,https://www.iihf.com//en/events/2022/wm18ib/gamecenter/playbyplay/32482/4-hun-vs-pol,https://www.iihf.com//pdf/53/ihm053904_77a_3_0
